Project: Cloud Adoption Plan    Server: dev.azure.com/wayneme    Query: all items    List type: Flat    ,,,,,,,
ID,Parent,Work Item Type,Priority,Value Area,Title,Tags,Description
4878,4814,User Story,2,Business,VM - UX Server,Workload Template,VM to be migrated
4879,4814,User Story,2,Business,VM - Middle Tier,Workload Template,VM to be migrated
4880,4814,User Story,2,Business,VM 3 - SQL Server,Workload Template,VM to be migrated
4881,4814,User Story,2,Business,Test Workload,Workload Template,Validate funcationality of the workload
4882,4814,User Story,2,Business,Optimize Workload Assets,Workload Template,Tune the migrated assets based on observations
4883,4814,User Story,2,Business,Promote Workload,Workload Template,Tune the migrated assets based on testing feedback
4884,4814,User Story,2,Business,Decomission Retired Assets,Workload Template,Realize cost savings by terminating retired assets
4885,4813,User Story,2,Business,Extend the landing zone for VMWare,First Host,"Resolve defined prerequisites necessary to migrate VMWare assets to Azure
"
4886,4813,User Story,2,Business,Migrate VMs,First Host,"Migrate a select group of VMs from the on-premises host to a host on Azure
"
4887,4813,User Story,2,Business,"Update migration assessment, decision tree, and tooling",First Host,"Evaluate the results of the migration from the first host to inform iterative processes
"
4888,4815,User Story,2,Business,Azure Readiness Guide,Ready,"Review the Azure Readiness Guide to become familiar with the tools and approaches needed in landing zone creation.
"
4889,4815,User Story,2,Business,CAF Migrate Landing Zone blueprint,Ready,"Evaluate the CAF Migrate Landing Zone blueprint. If the assumptions and decisions in that article align to your business and technical objectives, the blueprint can be used to create your landing zone.
"
4890,4815,User Story,2,Business,Landing zone considerations,Ready,"Review landing zone considerations to understand the alternative decisions which could impact your landing zone design.
"
4891,4815,User Story,2,Business,Deploy the modified blueprint,Ready,"Update the landing zone blueprint based on the impacted considerations and deploy the modified blueprint.
"
4892,4816,User Story,2,Business,Digital Estate,Plan,"Inventory and rationalize the digital estate based on assumptions which align with motivations and business outcomes.
"
4893,4816,User Story,2,Business,Initial organizational alignment,Plan,"Establish a plan for organizational alignment, included defined RACI diagrams.
"
4894,4816,User Story,2,Business,Skills readiness plan,Plan,"Create a plan for addressing skills readiness gaps.
"
4895,4816,User Story,2,Business,Update this Cloud Adoption Plan,Plan,"Update this cloud adoption plan to manage effort and change.
"
4896,4817,User Story,2,Business,Motivations,Strategy,"Meet with key stakeholders and executives to document the motivations which are driving an interest in cloud adoption.
"
4897,4817,User Story,2,Business,Business Outcomes,Strategy,"Engage motivated stakeholders and executives to document specific business outcomes.
"
4898,4817,User Story,2,Business,Business Case,Strategy,"Develop a business case to validate the financial model supporting the motivations and outcomes.
"
4899,4817,User Story,2,Business,First Adoption Project,Strategy,"In parallel to strategy and plan development, technical staff should begin implementation of a first adoption project to expand cloud skills.
"
